api,well,operator,application_type,drill_type,submitted,approved
42-323-33662,FAITH-STATE-RINCON 'C' UNIT 3H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2025-01-13,2025-01-15
42-323-33660,FAITH-STATE-RINCON 'C' UNIT 1H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2025-01-13,2025-01-14
42-323-33661,FAITH-STATE-RINCON 'C' UNIT 2H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2025-01-13,2025-01-14
42-323-33663,FAITH-STATE-RINCON 'C' UNIT 4H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2025-01-13,2025-01-14
42-323-33657,GLASS RANCH 6002H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-12-12,2024-12-17
42-323-33658,GLASS RANCH 6003H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-12-12,2024-12-17
42-323-33659,GLASS RANCH 6005H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-12-12,2024-12-17
42-323-33656,GLASS RANCH 6001H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-12-12,2024-12-13
42-323-33655,SERENA RANCH 7804H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-12-05,2024-12-06
42-323-33479,SERENA RANCH 7602,"GRIT OIL & GAS MANAGEMENT, LLC",Recompletion,Vertical,2024-12-02,2024-12-03
42-323-33653,SERENA RANCH-INDIO A 7803H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-11-27,2024-12-06
42-323-33654,SERENA RANCH-INDIO B 7805H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-11-27,2024-12-06
42-323-33651,SERENA RANCH 7802H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-11-27,2024-12-03
42-323-33652,SERENA RANCH 7801H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-11-27,2024-12-03
42-323-33637,FAITH-STATE-RINCON 'D' UNIT 2H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2024-08-23,2024-08-29
42-323-33648,COMANCHE 9831H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-21,2024-08-23
42-323-33649,COMANCHE 9832H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-21,2024-08-23
42-323-33650,COMANCHE 9833H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-21,2024-08-23
42-323-33645,COMANCHE 6971H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-09,2024-08-15
42-323-33646,COMANCHE 6972H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-09,2024-08-15
42-323-33647,COMANCHE 6973H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-09,2024-08-15
42-323-33642,COMANCHE 1421H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-06,2024-08-08
42-323-33643,COMANCHE 1423H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-06,2024-08-08
42-323-33644,COMANCHE 1425H,EL TORO RESOURCES LLC,New Drill,Horizontal,2024-08-06,2024-08-08
42-323-33641,CHITTIM 3018H,"BLACKBRUSH O & G, LLC",New Drill,Horizontal,2024-07-23,2024-08-01
42-323-33640,WTG311 1,"WEST TEXAS GAS UTILITY, LLC",New Drill,Vertical,2024-06-24,2024-07-01
42-323-33614,CAGE A 1101H,"ENDEAVOR NATURAL GAS, LP",New Drill,Horizontal,2024-04-04,2024-04-10
42-323-33638,FAITH-STATE-RINCON 'D' UNIT 3H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2024-03-20,2024-03-20
42-323-33639,FAITH-STATE-RINCON 'D' UNIT 4H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2024-03-20,2024-03-20
42-323-33636,FAITH-STATE-RINCON 'D' UNIT 1H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2024-03-19,2024-03-20
42-323-33637,FAITH-STATE-RINCON 'D' UNIT 2H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2024-03-19,2024-03-20
42-323-33634,CAGE 5304H,"ENDEAVOR NATURAL GAS, LP",New Drill,Horizontal,2024-03-07,2024-03-12
42-323-33635,CAGE 5302H,"ENDEAVOR NATURAL GAS, LP",New Drill,Horizontal,2024-03-07,2024-03-12
42-323-32791,GARY B 3 H,EL INDIO ENERGY LLC,Recompletion,Vertical,2024-02-16,2024-02-22
42-323-33625,FAITH-STATE-RINCON 'B' UNIT 2H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2024-02-07,2024-02-12
42-323-33633,WTG303 1,"WEST TEXAS GAS UTILITY, LLC",New Drill,Vertical,2024-02-05,2024-02-21
42-323-33628,WTG302 1,"WEST TEXAS GAS UTILITY, LLC",New Drill,Vertical,2024-02-05,2024-02-16
42-323-33629,SERENA RANCH 3602H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-02-05,2024-02-08
42-323-33630,SERENA RANCH 3604H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-02-05,2024-02-08
42-323-33631,SERENA RANCH 3606H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-02-05,2024-02-08
42-323-33632,SERENA RANCH 3608H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2024-02-05,2024-02-08
42-323-32346,"CHITTIM, N. J. 3516RH",CHITTIM OPERATING LLC,Recompletion,Horizontal,2023-09-14,2023-09-22
42-323-33624,FAITH-STATE-RINCON 'B1' 1H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2023-09-07,2023-09-13
42-323-33625,FAITH-STATE-RINCON 'B2' 2H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2023-09-07,2023-09-13
42-323-33626,FAITH-STATE-RINCON 'B3' 3H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2023-09-07,2023-09-13
42-323-33627,FAITH-STATE-RINCON 'B4' 4H,"STRAND ENERGY, L.C.",New Drill,Horizontal,2023-09-07,2023-09-13
42-323-33579,CHITTIM 1173,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2023-09-06,2023-09-07
42-323-33589,CAGE 3602H,"ENDEAVOR NATURAL GAS, LP",New Drill,Horizontal,2023-08-01,2023-08-04
42-323-33590,CAGE 3604H,"ENDEAVOR NATURAL GAS, LP",New Drill,Horizontal,2023-08-01,2023-08-04
42-323-33622,CUNDIEFF 0202H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2023-07-27,2023-07-31
42-323-33623,CUNDIEFF 0204H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2023-07-27,2023-07-31
42-323-33060,"CHITTIM, N. J. 3878",CHITTIM OPERATING LLC,Recompletion,Vertical,2023-06-30,2023-07-13
42-323-33620,GLASS RANCH 6701H,"GRIT OIL & GAS MANAGEMENT, LLC",New Drill,Horizontal,2023-06-28,2023-06-30
