api,well,operator,application_type,drill_type,submitted,approved
42-079-33436,BUFFALO BILL B 1H,"MANZANO, LLC",New Drill,Horizontal,2024-08-22,2024-08-28
42-079-33435,BLACK JACK 1H,"MANZANO, LLC",New Drill,Horizontal,2024-07-29,2024-08-02
42-079-33434,BELLE STARR 1H,"MANZANO, LLC",New Drill,Horizontal,2024-07-11,2024-07-16
42-079-33433,IKE CLANTON 'B' 2H,"MANZANO, LLC",New Drill,Horizontal,2024-06-04,2024-06-10
42-079-33433,IKE CLANTON B 2H,"MANZANO, LLC",New Drill,Horizontal,2024-01-24,2024-01-24
42-079-30785,MARTY WRIGHT 43,A.C.T. OPERATING COMPANY,Reclass,Vertical,2023-10-31,2023-11-16
42-079-30378,MARTY WRIGHT 11,A.C.T. OPERATING COMPANY,Reclass,Vertical,2023-10-05,2023-10-12
42-079-30547,MARTY WRIGHT 24,A.C.T. OPERATING COMPANY,Reclass,Vertical,2023-10-05,2023-10-12
42-079-31411,MARTY WRIGHT 28,A.C.T. OPERATING COMPANY,Reclass,Vertical,2023-10-05,2023-10-12
42-079-30545,MARTY WRIGHT 36,A.C.T. OPERATING COMPANY,Reclass,Vertical,2023-10-05,2023-10-12
42-079-33409,SHERMAN SWD 1,"MANZANO, LLC",New Drill,Vertical,2023-09-22,2023-09-26
42-079-31108,CALVIN-STARNES UNIT 4014H,"DP PERMIAN OPERATOR, LLC",Re-Enter,Horizontal,2022-11-01,2023-01-11
42-079-33432,DOC HOLLIDAY 2H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-08-04,2022-08-12
42-079-33431,BUFFALO BILL 4AH,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-06-30,2022-07-01
42-079-32577,CSR 1H,"DP PERMIAN OPERATOR, LLC",Recompletion,Horizontal,2022-05-18,2022-05-23
42-079-30990,CALVIN-STARNES UNIT 3513H,"DP PERMIAN OPERATOR, LLC",Re-Enter,Horizontal,2022-05-04,2022-05-20
42-079-33409,SHERMAN SWD 1,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Vertical,2022-04-12,2022-04-18
42-079-33415,SQUANTO 3H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-03-22,2022-03-29
42-079-33425,MORGAN 1H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-03-22,2022-03-28
42-079-33429,BAT MASTERSON 1H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-03-22,2022-03-25
42-079-33428,REMINGTON 1H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-02-09,2022-03-14
42-079-33427,COLT 1H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2022-02-08,2022-03-14
42-079-33426,LANDRETH 1H,"SILVER CREEK PERMIAN OP CO, LLC",New Drill,Horizontal,2021-12-29,2022-01-05
