api,well,operator,application_type,drill_type,submitted,approved
42-167-31352,SUNNY ERNST 1,QUIDNET ENERGY DEPLOYMENT LLC,Recompletion,Vertical,2024-08-05,2024-08-06
42-167-31549,E.W. CRAIG 9,HILCORP ENERGY COMPANY,New Drill,Directional,2024-04-30,2024-05-06
42-167-31548,"CADE, E. K. 159","HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2024-04-19,2024-04-26
42-706-30258,GALVESTON 215 9,"EMERALD GATHER AND TRANS, LLC",New Drill,Directional,2024-03-12,2024-03-28
42-167-31534,TIDWELL 2,KALER ENERGY CORP.,Recompletion,Directional,2024-03-06,2024-03-12
42-706-30257,ST 215-L N/2 NE/4 4,"EMERALD GATHER AND TRANS, LLC",New Drill,Directional,2024-02-20,2024-02-27
42-706-30258,ST 215-L N/2 NE/4 9,"EMERALD GATHER AND TRANS, LLC",New Drill,Directional,2024-02-20,2024-02-27
42-167-31528,TIDWELL 1,KALER ENERGY CORP.,Recompletion,Directional,2024-02-05,2024-03-08
42-167-31528,TIDWELL 1,KALER ENERGY CORP.,Recompletion,Directional,2023-12-08,2023-12-08
42-167-31547,STEWART TITLE 1,"FRIO RESOURCES, LLC",New Drill,Directional,2023-10-24,2023-11-09
42-167-31534,TIDWELL 2,KALER ENERGY CORP.,Recompletion,Directional,2023-08-25,2023-08-29
42-167-31546,JEWELS UNIT 'A' 2,KALER ENERGY CORP.,New Drill,Directional,2023-05-10,2023-05-15
42-167-31545,CARANCAHUA BAYOU 1,"KEBO OIL & GAS, INC.",New Drill,Directional,2023-02-16,2023-02-24
42-167-31541,STEWART 1,HILCORP ENERGY COMPANY,New Drill,Directional,2022-09-23,2022-09-29
42-167-31536,JEWELS UNIT A 1,KALER ENERGY CORP.,Recompletion,Directional,2022-07-26,2022-07-28
42-167-31544,STATE TRACT 118 7,"HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2022-06-22,2022-06-27
42-167-31541,STEWART UNIT 1,HILCORP ENERGY COMPANY,New Drill,Directional,2022-06-22,2022-06-22
42-167-31536,JEWELS UNIT A 1,KALER ENERGY CORP.,New Drill,Directional,2022-05-24,2022-06-03
42-167-31540,TARPON UNIT 1,HILCORP ENERGY COMPANY,New Drill,Directional,2022-03-29,2022-08-11
42-167-31543,NONAGON 1,BPX OPERATING COMPANY,New Drill,Directional,2022-03-29,2022-04-01
42-167-31542,ROBERTS & MUELLER 17,"HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2022-03-15,2022-03-21
42-167-31534,TIDWELL 2,KALER ENERGY CORP.,Recompletion,Directional,2022-02-08,2022-02-11
42-167-31535,TIDWELL 3,KALER ENERGY CORP.,Recompletion,Directional,2022-01-31,2022-02-03
42-167-31541,STEWART UNIT 1,HILCORP ENERGY COMPANY,New Drill,Directional,2021-12-06,2021-12-10
42-167-31540,TARPON UNIT 1,HILCORP ENERGY COMPANY,New Drill,Directional,2021-12-02,2021-12-06
42-167-31535,TIDWELL 3,KALER ENERGY CORP.,New Drill,Directional,2021-05-26,2021-06-02
42-167-31539,SHIELDS HBR 1,HILCORP ENERGY COMPANY,New Drill,Directional,2021-03-31,2021-04-01
42-706-30250,S. T. 186-L S/2 SE/4 1,"EMERALD GATHER AND TRANS, LLC",Recompletion,Directional,2021-02-25,2021-03-04
42-167-31539,SHIELDS HBR 1,HILCORP ENERGY COMPANY,New Drill,Directional,2020-12-16,2020-12-18
42-706-30256,ST 186-L S/2 SE/4 2,"EMERALD GATHER AND TRANS, LLC",New Drill,Directional,2020-12-08,2021-01-04
42-167-31537,STATE TRACT 118 6,"HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2020-11-06,2020-11-12
42-167-31534,TIDWELL 2,KALER ENERGY CORP.,New Drill,Directional,2020-09-08,2020-09-08
42-167-31536,JEWELS UNIT A 1,KALER ENERGY CORP.,New Drill,Directional,2020-08-27,2020-08-28
42-167-31535,TIDWELL 3,"MUELLER EXPLORATION, INC.",New Drill,Directional,2020-06-19,2020-07-17
42-167-31534,TIDWELL 2,"MUELLER EXPLORATION, INC.",New Drill,Directional,2020-03-16,2020-03-19
42-167-31532,O'BRIEN UNIT 5 3,"HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2019-07-26,2019-07-30
42-167-31533,WILLIAM RUBEL 1,HILCORP ENERGY COMPANY,New Drill,Directional,2019-07-18,2019-07-22
42-167-31533,WILLIAM RUBEL 1,HILCORP ENERGY COMPANY,New Drill,Directional,2019-06-19,2019-06-19
42-167-01951,FRANKS 8900 SAND UNIT 1502,HILCORP ENERGY COMPANY,Recompletion,Vertical,2019-05-24,2019-05-28
42-167-31533,WILLIAM RUBEL 1,HILCORP ENERGY COMPANY,New Drill,Vertical,2019-05-24,2019-05-28
42-167-31532,O'BRIEN UNIT 5 3,"HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2019-05-14,2019-05-24
42-167-31531,CATHODIC PROTECTION 45,"TRANSCONTINENTAL GAS P.L. CO,LLC",New Drill,Vertical,2019-04-11,2019-04-12
42-167-31482,"CADE, E.K. 152","HOUSTON OIL PROD ENTERPRISES,INC",Re-Enter,Directional,2019-02-11,2019-02-14
42-167-31357,RUBEL SWD 1,HILCORP ENERGY COMPANY,Recompletion,Vertical,2018-08-02,2018-08-03
42-167-31388,M. GILBY GAS UNIT 3,HILCORP ENERGY COMPANY,Recompletion,Directional,2018-04-18,2018-04-23
42-167-31366,GORDON 2,HILCORP ENERGY COMPANY,Recompletion,Directional,2018-03-19,2018-04-20
42-167-30645,SOUTH GILLOCK UNIT 94,"PROMISE ENERGY OPERATIONS, LLC",Recompletion,Vertical,2018-03-16,2018-03-20
42-167-31391,FEDERAL DELANGE GAS UNIT 2,HILCORP ENERGY COMPANY,Recompletion,Directional,2018-02-08,2018-02-09
42-167-31528,TIDWELL 1,"MUELLER EXPLORATION, INC.",New Drill,Directional,2018-01-06,2018-01-29
42-167-31411,GORDON 5,HILCORP ENERGY COMPANY,Recompletion,Directional,2017-12-18,2017-12-21
42-167-31411,GORDON 5,HILCORP ENERGY COMPANY,Recompletion,Directional,2017-11-30,2017-12-04
42-167-31517,COOPER B UNIT 2,HOUSTON PETROLEUM COMPANY,Recompletion,Vertical,2017-11-07,2017-11-15
42-167-31411,GORDON 5,HILCORP ENERGY COMPANY,Recompletion,Directional,2017-11-02,2017-11-08
42-167-31494,BOBBIE GAS UNIT 1,HILCORP ENERGY COMPANY,Recompletion,Directional,2017-08-04,2017-08-10
42-167-31530,THOMPSON TRUSTEE 4W,"NORDSTRAND ENGINEERING, INC.",New Drill,Vertical,2017-04-17,2017-04-27
42-706-30252,S.T. 214-L S/2 NW/4 3,"EMERALD GATHER AND TRANS, LLC",Recompletion,Directional,2017-01-31,2017-02-13
42-167-31529,MERCURY 1,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2016-05-17,2016-05-20
42-167-31528,TIDWELL 1,"MUELLER EXPLORATION, INC.",New Drill,Directional,2016-03-10,2016-03-18
42-167-31411,GORDON 5,XTO ENERGY INC.,Recompletion,Directional,2015-12-14,2016-03-02
42-167-31521,"CADE, E. KER -A- R/A -A- 317","LINC GULF COAST PETROLEUM, INC.",New Drill,Directional,2015-10-23,2015-11-03
42-167-01852,SOUTH GILLOCK UNIT 8,"SAWTOOTH OPERATING CO., INC.",Recompletion,Directional,2015-06-24,2015-06-26
42-167-31521,MCNEILL 'A' 10,"LINC GULF COAST PETROLEUM, INC.",New Drill,Directional,2015-04-02,2015-04-08
42-167-31520,NEW LAKE 1,"SQUARE MILE ENERGY, L.L.C.",New Drill,Directional,2014-12-17,2014-12-19
42-167-31413,HBR RUBEL 1,POCO LLC,Re-Enter,Vertical,2014-12-10,2014-12-11
42-167-31519,BRISCOE UNIT 1,STEPHENS PRODUCTION COMPANY,New Drill,Vertical,2014-10-21,2014-10-23
42-167-31086,BRUCE GAS UNIT 2,"GASPER RICE RESOURCES, LTD.",Recompletion,Vertical,2014-09-19,2014-10-03
42-167-31518,TOWNES FAMILY 1,"MUELLER EXPLORATION, INC.",New Drill,Vertical,2014-05-06,2014-06-07
42-167-31516,THOMPSON TRUSTEE 4W,"NORDSTRAND ENGINEERING, INC.",New Drill,Vertical,2014-04-04,2014-05-12
42-167-31517,COOPER B UNIT 2,HOUSTON PETROLEUM COMPANY,New Drill,Directional,2014-03-20,2014-05-03
42-167-31515,DAVIS UNIT 2,HOUSTON PETROLEUM COMPANY,New Drill,Directional,2014-01-06,2014-01-07
42-167-31494,BOBBIE GAS UNIT 1,"SAMSON EXPLORATION, LLC",Recompletion,Directional,2013-12-19,2014-01-13
42-167-31391,FEDERAL DELANGE GAS UNIT 2,XTO ENERGY INC.,Recompletion,Directional,2013-11-25,2013-12-09
42-167-31374,GORDON 3,XTO ENERGY INC.,Recompletion,Directional,2013-11-25,2013-12-09
42-167-31514,DAVIS UNIT 1,HOUSTON PETROLEUM COMPANY,New Drill,Directional,2013-09-12,2013-09-27
42-167-31513,BOFYSIL UNIT 2D,"NEW CENTURY EXPLORATION, INC.",New Drill,Directional,2013-09-08,2013-09-16
42-167-31512,HALLS BAYOU RANCH 1,"AC EXPLORATION, LLC",New Drill,Directional,2013-08-01,2013-08-02
42-706-30255,ST 215L SOUTH UNIT WELL 001,"HALL-HOUSTON EXPLORATION IV,L.P.",New Drill,Directional,2013-05-20,2013-05-22
42-706-30254,ST 187L NORTH UNIT 1,"HALL-HOUSTON EXPLORATION IV,L.P.",New Drill,Directional,2013-05-16,2013-05-30
42-167-31374,GORDON 3,XTO ENERGY INC.,Recompletion,Directional,2013-05-03,2013-05-10
42-167-31511,STATE TRACT 353 1,"ALTA MESA SERVICES, LP",New Drill,Directional,2013-03-07,2013-03-11
42-167-31507,HUNT CLUB GAS UNIT 1,"SAMSON EXPLORATION, LLC",New Drill,Directional,2013-02-28,2013-03-04
42-706-30253,S.T. 215-L S/2 NE/4 4,"RAZOR EXPLORATION, LLC",New Drill,Directional,2013-02-14,2013-02-19
42-706-30252,S.T. 215-L S/2 NE/4 3,"RAZOR EXPLORATION, LLC",New Drill,Directional,2013-02-12,2013-02-14
42-167-31488,LANGLEY UNIT 1,INTERSTATE EXPLORATIONS LLC,New Drill,Directional,2012-12-04,2012-12-11
42-167-31510,WILLIAMS UNIT 1,HOUSTON PETROLEUM COMPANY,New Drill,Vertical,2012-11-21,2012-11-30
42-167-31509,E.K. CADE 155,"HOUSTON OIL PROD ENTERPRISES,INC",New Drill,Directional,2012-11-13,2012-11-26
42-167-31507,HUNT CLUB GAS UNIT 1,"SAMSON EXPLORATION, LLC",New Drill,Directional,2012-08-23,2012-09-04
42-167-31441,STATE TRACT 236 1,"GALVESTON BAY ENERGY, LLC",Recompletion,Vertical,2012-08-16,2012-10-29
42-167-31500,STATE TRACT 330 3,DAVIS PETROLEUM CORP.,New Drill,Directional,2012-07-25,2012-09-06
42-167-31506,SUNNY ERNST GU 1 3,"ACTIVA RESOURCES, LLC",New Drill,Vertical,2012-07-10,2012-07-18
42-167-31459,MARS MCLEAN 1,CASKIDS OPERATING COMPANY,Re-Enter,Vertical,2012-05-24,2012-06-04
