api,well,operator,application_type,drill_type,submitted,approved
42-165-02013,SEMINOLE SAN ANDRES UNIT 4903,OXY USA INC.,Recompletion,Vertical,2025-01-15,2025-01-17
42-165-33035,SEMINOLE SAN ANDRES UNIT 4909,OXY USA INC.,Recompletion,Vertical,2025-01-15,2025-01-17
42-165-00346,SEMINOLE SAN ANDRES UNIT 5103,OXY USA INC.,Recompletion,Vertical,2025-01-15,2025-01-17
42-165-33124,SEMINOLE SAN ANDRES UNIT 5105,OXY USA INC.,Recompletion,Vertical,2025-01-15,2025-01-17
42-165-33209,SEMINOLE SAN ANDRES UNIT 5108,OXY USA INC.,Recompletion,Vertical,2025-01-15,2025-01-17
42-165-03147,"WHARTON, A.B.JR. 'A' JOA 16","SABINAL ENERGY OPERATING, LLC",Recompletion,Vertical,2025-01-14,2025-01-17
42-165-38974,GREY WOLF 1,BIG MOUNTAIN OPERATING LLC,New Drill,Vertical,2024-12-23,2024-12-31
42-165-38972,SEMINOLE SAN ANDRES UNIT 1516R,OXY USA INC.,New Drill,Directional,2024-12-20,2025-01-07
42-165-38971,SEMINOLE SAN ANDRES UNIT 1202R,OXY USA INC.,New Drill,Directional,2024-12-20,2024-12-20
42-165-38973,SEMINOLE SAN ANDRES UNIT 1101 R,OXY USA INC.,New Drill,Directional,2024-12-20,2024-12-20
42-165-34422,"SPARKS, T.E. 5","WHITE ROCK OIL & GAS, LLC",Recompletion,Vertical,2024-11-12,
42-165-34349,"SPARKS, T.E. 3","WHITE ROCK OIL & GAS, LLC",Recompletion,Vertical,2024-11-12,
42-165-10080,SEMINOLE SAN ANDRES UNIT 4000,OXY USA INC.,Recompletion,Vertical,2024-11-08,2024-11-12
42-165-38964,S E ANDREWS CHARITABLE TRUST 3,"WHITE ROCK OIL & GAS, LLC",New Drill,Vertical,2024-10-29,2024-10-30
42-165-38965,MONARCH 9W,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-10-24,2024-10-24
42-165-38966,MONARCH 10W,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-10-24,2024-10-24
42-165-38967,MONARCH 11W,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-10-24,2024-10-24
42-165-38968,MONARCH 12W,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-10-24,2024-10-24
42-165-38969,MONARCH 13W,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-10-24,2024-10-24
42-165-38939,SEMINOLE SAN ANDRES UNIT 1503 R,OXY USA INC.,New Drill,Directional,2024-10-21,2024-10-22
42-165-31832,WEST SEMINOLE SA UNIT 623,OXY USA WTP LP,Recompletion,Vertical,2024-10-14,2024-10-15
42-165-38964,S E ANDREWS CHARITABLE TRUST 3,"WHITE ROCK OIL & GAS, LLC",New Drill,Vertical,2024-10-02,2024-10-04
42-165-38878,NJCU 34,"WHITE ROCK OIL & GAS, LLC",Reclass,Vertical,2024-10-02,2024-10-04
42-165-38872,NJCU 31,"WHITE ROCK OIL & GAS, LLC",Reclass,Vertical,2024-10-02,2024-10-02
42-165-38963,SHADOW 1,"BURK ROYALTY CO., LTD.",New Drill,Directional,2024-09-19,2024-09-20
42-165-38962,SPIRE 1,"CORY, KENNETH W. LTD.",New Drill,Directional,2024-09-09,2024-09-10
42-165-38961,BISHOP WHELAN 2,"MANZANO, LLC",New Drill,Directional,2024-08-28,2024-08-29
42-165-33323,PAGE-BLACK 3,REIN PUSHER OPERATING LLC,Recompletion,Vertical,2024-08-14,2024-08-22
42-165-38960,BRANEX/AMERICAN 28,"TEXLAND PETROLEUM, L.P.",New Drill,Directional,2024-08-01,2024-08-02
42-165-01803,SEMINOLE SAN ANDRES UNIT 5510,OXY USA INC.,Recompletion,Vertical,2024-07-23,2024-07-30
42-165-38956,MONARCH 5,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-27,2024-07-02
42-165-38957,MONARCH 6,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-27,2024-07-02
42-165-38958,MONARCH 7,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-27,2024-07-02
42-165-38959,MONARCH 8,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-27,2024-07-02
42-165-38954,SEMINOLE SAN ANDRES UNIT 2307R,OXY USA INC.,New Drill,Directional,2024-06-24,2024-06-27
42-165-38955,SEMINOLE SAN ANDRES UNIT 2202R,OXY USA INC.,New Drill,Directional,2024-06-24,2024-06-27
42-165-38952,MONARCH 3,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-21,2024-07-02
42-165-38950,MONARCH 1,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-21,2024-06-28
42-165-38951,MONARCH 2,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-21,2024-06-28
42-165-38953,MONARCH 4,"MCCLURE OIL COMPANY, INC.",New Drill,Vertical,2024-06-21,2024-06-28
42-165-31378,SEMINOLE SAN ANDRES UNIT 3519,OXY USA INC.,Recompletion,Vertical,2024-06-20,2024-06-25
42-165-31385,SEMINOLE SAN ANDRES UNIT 3518,OXY USA INC.,Recompletion,Vertical,2024-06-20,2024-06-25
42-165-32108,SEMINOLE SAN ANDRES UNIT 4128,OXY USA INC.,Recompletion,Vertical,2024-06-20,2024-06-25
42-165-32105,SEMINOLE SAN ANDRES UNIT 4127,OXY USA INC.,Recompletion,Vertical,2024-06-20,2024-06-25
42-165-31927,SEMINOLE SAN ANDRES UNIT 4121,OXY USA INC.,Recompletion,Vertical,2024-06-17,2024-06-19
42-165-31990,SEMINOLE SAN ANDRES UNIT 4123,OXY USA INC.,Recompletion,Vertical,2024-06-17,2024-06-19
42-165-33345,DENVER UNIT 6830,OCCIDENTAL PERMIAN LTD.,Recompletion,Directional,2024-06-13,2024-06-18
42-165-38944,SEMINOLE SAN ANDRES UNIT 3510R,OXY USA INC.,New Drill,Directional,2024-06-12,2024-06-14
42-165-38945,SEMINOLE SAN ANDRES UNIT 5207R,OXY USA INC.,New Drill,Directional,2024-06-12,2024-06-14
42-165-38946,SEMINOLE SAN ANDRES UNIT 2301R,OXY USA INC.,New Drill,Directional,2024-06-12,2024-06-14
42-165-38947,SEMINOLE SAN ANDRES UNIT 2305R,OXY USA INC.,New Drill,Directional,2024-06-12,2024-06-14
42-165-38948,SEMINOLE SAN ANDRES UNIT 2402R,OXY USA INC.,New Drill,Directional,2024-06-12,2024-06-14
42-165-38949,SEMINOLE SAN ANDRES UNIT 6204R,OXY USA INC.,New Drill,Directional,2024-06-12,2024-06-14
42-165-01794,SEMINOLE SAN ANDRES UNIT 5501,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-02429,SEMINOLE SAN ANDRES UNIT 5201 A,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-02568,SEMINOLE SAN ANDRES UNIT 5402,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-01824,SEMINOLE SAN ANDRES UNIT 4103,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-01839,SEMINOLE SAN ANDRES UNIT 6202,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-00194,SEMINOLE SAN ANDRES UNIT 5302,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-00198,SEMINOLE SAN ANDRES UNIT 5306,OXY USA INC.,Recompletion,Vertical,2024-06-04,2024-06-06
42-165-00195,SEMINOLE SAN ANDRES UNIT 5303,OXY USA INC.,Recompletion,Vertical,2024-06-03,2024-06-06
42-165-01832,SEMINOLE SAN ANDRES UNIT 4111,OXY USA INC.,Recompletion,Vertical,2024-06-03,2024-06-06
42-165-34144,WEST SEMINOLE SA UNIT 325,OXY USA WTP LP,Recompletion,Vertical,2024-06-03,2024-06-05
42-165-00237,SEMINOLE SAN ANDRES UNIT 4004,OXY USA INC.,Recompletion,Vertical,2024-06-03,2024-06-05
42-165-38940,SEMINOLE SAN ANDRES UNIT 1602R,OXY USA INC.,New Drill,Directional,2024-05-23,2024-05-23
42-165-38941,SEMINOLE SAN ANDRES UNIT 1703,OXY USA INC.,New Drill,Directional,2024-05-23,2024-05-23
42-165-38942,SEMINOLE SAN ANDRES UNIT 1507R,OXY USA INC.,New Drill,Directional,2024-05-23,2024-05-23
42-165-38943,SEMINOLE SAN ANDRES UNIT 1305R,OXY USA INC.,New Drill,Directional,2024-05-23,2024-05-23
42-165-38939,SEMINOLE SAN ANDRES UNIT 1503 R,OXY USA INC.,New Drill,Directional,2024-05-22,2024-05-23
42-165-38852,EDWARDS BLOCK 3 1,"UTOCO, Ltd.",Recompletion,Vertical,2024-05-17,2024-05-22
42-165-31372,SEMINOLE SAN ANDRES UNIT 3213,OXY USA INC.,Recompletion,Vertical,2024-05-01,2024-05-03
42-165-31383,SEMINOLE SAN ANDRES UNIT 3118,OXY USA INC.,Recompletion,Vertical,2024-05-01,2024-05-03
42-165-00065,SEMINOLE SAN ANDRES UNIT 1202,OXY USA INC.,Recompletion,Vertical,2024-04-29,2024-04-30
42-165-00362,SEMINOLE SAN ANDRES UNIT 1501,OXY USA INC.,Recompletion,Vertical,2024-04-29,2024-04-30
42-165-34063,SEMINOLE SAN ANDRES UNIT 1311,OXY USA INC.,Recompletion,Vertical,2024-04-29,2024-04-30
42-165-00257,SEMINOLE SAN ANDRES UNIT 1504,OXY USA INC.,Recompletion,Vertical,2024-04-29,2024-04-30
