api,well,operator,application_type,drill_type,submitted,approved
42-475-38916,WILDCAT SWD 1,WATERBRIDGE STATELINE LLC,New Drill,Vertical,2025-01-16,2025-01-17
42-475-38706,CAVE BEAR 60 WB A 1H,"Vital Energy, Inc.",New Drill,Horizontal,2025-01-15,2025-01-16
42-475-38708,CAVE BEAR 60 WB B 2H,"Vital Energy, Inc.",New Drill,Horizontal,2025-01-15,2025-01-16
42-475-38709,CAVE BEAR 60 WB C 3H,"Vital Energy, Inc.",New Drill,Horizontal,2025-01-15,2025-01-16
42-475-38711,CAVE BEAR 60 WB E 5H,"Vital Energy, Inc.",New Drill,Horizontal,2025-01-15,2025-01-16
42-475-38712,CAVE BEAR 60 WB F 6H,"Vital Energy, Inc.",New Drill,Horizontal,2025-01-15,2025-01-16
,ASSAULT 125-127 A 1HA,"MANTI TARKA PERMIAN OP, LLC",New Drill,Horizontal,2025-01-13,
,ASSAULT 125-127 B 2HA,"MANTI TARKA PERMIAN OP, LLC",New Drill,Horizontal,2025-01-13,
42-475-38347,ICE 24 1,WILLIAMS OIL COMPANY,Recompletion,Vertical,2025-01-06,
42-475-38701,CAVE BEAR 50 WA D 4H,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-30,2025-01-03
42-475-38703,CAVE BEAR 50 WA F 6H,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-30,2025-01-03
42-475-38698,CAVE BEAR 50 WA A 1H,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-30,2024-12-31
42-475-38700,CAVE BEAR 50 WA C 3H,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-30,2024-12-31
42-475-38702,CAVE BEAR 50 WA E 5H,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-30,2024-12-31
42-475-38895,UL ARMY SOUTH C 5A,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-23,2024-12-23
42-475-38818,STATE OF TEXAS 'DL' 10,"JETTA OPERATING COMPANY, INC.",New Drill,Directional,2024-12-20,2024-12-20
42-475-38913,JOSH 201-202 UNIT 223H,"Permian Resources Operating, LLC",New Drill,Horizontal,2024-12-19,2025-01-16
42-475-38912,JOSH 201-202 UNIT 222H,"Permian Resources Operating, LLC",New Drill,Horizontal,2024-12-19,2025-01-07
42-475-38881,UL NAVY SOUTH E 9A,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38882,UL NAVY SOUTH F 12B,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38883,UL NAVY SOUTH G 13A,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38884,UL NAVY SOUTH H 16B,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38885,UL NAVY SOUTH EE 10FB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38886,UL NAVY SOUTH FF 11TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38887,UL NAVY SOUTH HH 15TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38888,UL NAVY SOUTH HH 14FB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-17,2024-12-18
42-475-38786,UL ARMY 50 1BS B 2H,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-16,2024-12-18
42-475-38897,MARY GRACE 201-202 UNIT 224H,"Permian Resources Operating, LLC",New Drill,Horizontal,2024-12-13,2025-01-06
42-475-38899,MARY GRACE 201-202 UNIT 226H,"Permian Resources Operating, LLC",New Drill,Horizontal,2024-12-13,2025-01-06
42-475-38906,UL 18 WILD THING WEST A 1AH,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38907,UL 18 WILD THING WEST B 2BS,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38908,UL 18 WILD THING WEST C 3H,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38909,UL 18 WILD THING WEST D 4AH,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38910,UL 18 WILD THING WEST E 5BS,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38911,UL 18 WILD THING WEST F 6H,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38898,MARY GRACE 201-202 UNIT 225H,"Permian Resources Operating, LLC",New Drill,Horizontal,2024-12-13,2024-12-19
42-475-38900,UL 18 WILD THING EAST G 7AH,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-17
42-475-38901,UL 18 WILD THING EAST H 8H,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-17
42-475-38902,UL 18 WILD THING EAST I 9BS,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-17
42-475-38903,UL 18 WILD THING EAST J 10AH,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-17
42-475-38904,UL 18 WILD THING EAST K 11BS,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-17
42-475-38905,UL 18 WILD THING EAST L 12H,APACHE CORPORATION,New Drill,Horizontal,2024-12-13,2024-12-17
42-475-38894,UL ARMY SOUTH B 3B,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-09,2024-12-11
42-475-38895,UL ARMY SOUTH C 5A,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-09,2024-12-11
42-475-38896,UL ARMY SOUTH D 8B,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-09,2024-12-11
42-475-38840,HUTCHINGS STOCK ASSOCIATION 3085,SUNDOWN ENERGY LP,New Drill,Directional,2024-12-05,2024-12-17
42-475-38893,SEALY SMITH S 9602WH,BOSQUE TEXAS OIL LLC,New Drill,Horizontal,2024-12-05,2024-12-09
42-475-38890,UL ARMY SOUTH BB 2TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-04,2024-12-05
42-475-38891,UL ARMY SOUTH CC 4FB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-04,2024-12-05
42-475-38892,UL ARMY SOUTH DD 7TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-12-04,2024-12-05
42-475-37456,SEALY RANCH 7203H,"HALCON OPERATING CO., INC.",New Drill,Horizontal,2024-12-03,2024-12-06
42-475-38868,UL 18 BENNY WEST A 1AH,APACHE CORPORATION,New Drill,Horizontal,2024-12-02,2024-12-05
42-475-38862,UL 18 BENNY WEST B 2H,APACHE CORPORATION,New Drill,Horizontal,2024-12-02,2024-12-04
42-475-38863,UL 18 BENNY WEST C 3BS,APACHE CORPORATION,New Drill,Horizontal,2024-12-02,2024-12-04
42-475-38864,UL 18 BENNY WEST D 4AH,APACHE CORPORATION,New Drill,Horizontal,2024-12-02,2024-12-04
42-475-38865,UL 18 BENNY WEST F 6H,APACHE CORPORATION,New Drill,Horizontal,2024-12-02,2024-12-04
42-475-38889,DANIELLE 183 UNIT 221H,"Permian Resources Operating, LLC",New Drill,Horizontal,2024-12-02,2024-12-04
42-475-38869,UL 18 BENNY WEST E 5BS,APACHE CORPORATION,New Drill,Horizontal,2024-12-02,2024-12-04
42-475-38882,UL NAVY SOUTH F 12B,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38883,UL NAVY SOUTH G 13A,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38884,UL NAVY SOUTH H 16B,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38885,UL NAVY SOUTH EE 10FB,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38886,UL NAVY SOUTH FF 11TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38887,UL NAVY SOUTH HH 15TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38888,UL NAVY SOUTH HH 14FB,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-27,2024-12-04
42-475-38881,UL NAVY SOUTH E 9A,"Vital Energy, Inc.",New Drill,Horizontal,2024-11-26,2024-12-04
42-475-38752,SEALY RANCH 6608H,"HALCON OPERATING CO., INC.",New Drill,Horizontal,2024-11-22,2024-11-25
42-475-38753,SEALY RANCH 6607H,"HALCON OPERATING CO., INC.",New Drill,Horizontal,2024-11-22,2024-11-25
42-475-38875,WHITE WING 14-1 UNIT 127H,MATADOR PRODUCTION COMPANY,New Drill,Horizontal,2024-11-21,2025-01-17
42-475-38876,WHITE WING 14-1 UNIT 133H,MATADOR PRODUCTION COMPANY,New Drill,Horizontal,2024-11-21,2025-01-17
42-475-38877,WHITE WING 14-1 UNIT 134H,MATADOR PRODUCTION COMPANY,New Drill,Horizontal,2024-11-21,2025-01-17
42-475-38878,WHITE WING 14-1 UNIT 213H,MATADOR PRODUCTION COMPANY,New Drill,Horizontal,2024-11-21,2025-01-17
42-475-38879,WHITE WING 14-1 UNIT 223H,MATADOR PRODUCTION COMPANY,New Drill,Horizontal,2024-11-21,2025-01-17
42-475-38880,WHITE WING 14-1 UNIT 224H,MATADOR PRODUCTION COMPANY,New Drill,Horizontal,2024-11-21,2025-01-17
42-475-38868,UL 18 BENNY WEST A 1AH,APACHE CORPORATION,New Drill,Horizontal,2024-11-15,2024-11-20
42-475-38869,UL 18 BENNY WEST E 5BS,APACHE CORPORATION,New Drill,Horizontal,2024-11-15,2024-11-20
42-475-38872,ICE 24 2,FOSSIL PETROLEUM LLC,New Drill,Vertical,2024-11-15,2024-11-19
,SMASHBOY B 1-29 B101HC,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-11-14,
,SMASHBOY C 1-29 B102HC,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-11-14,
,SMASHBOY D 1-29 B302HC,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-11-14,
,SMASHBOY A 1-29 B301HC,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-11-14,
42-475-38866,APEX 93-F 1,PILOT WATER GATH DELAWARE LLC,New Drill,Vertical,2024-11-08,2024-11-08
42-475-38867,COYOTE 121-34 SWD 1,PILOT WATER GATH DELAWARE LLC,New Drill,Vertical,2024-11-08,2024-11-08
42-475-38862,UL 18 BENNY WEST B 2H,APACHE CORPORATION,New Drill,Horizontal,2024-10-30,2024-11-07
42-475-38863,UL 18 BENNY WEST C 3BS,APACHE CORPORATION,New Drill,Horizontal,2024-10-30,2024-11-07
42-475-38864,UL 18 BENNY WEST D 4AH,APACHE CORPORATION,New Drill,Horizontal,2024-10-30,2024-11-07
42-475-38865,UL 18 BENNY WEST F 6H,APACHE CORPORATION,New Drill,Horizontal,2024-10-30,2024-11-07
42-475-38861,UL COCHISE 12 SWD 1D,JAGGED PEAK ENERGY LLC,New Drill,Vertical,2024-10-30,2024-10-31
42-475-36021,STATE OF TEXAS FW 7X,"JETTA OPERATING COMPANY, INC.",Recompletion,Vertical,2024-10-28,2024-10-28
42-475-38860,UNIVERSITY 25-18 1,PILOT WATER GATH DELAWARE LLC,New Drill,Vertical,2024-10-25,2024-10-28
42-475-38859,UNIVERSITY 15-17 1,PILOT WATER GATH DELAWARE LLC,New Drill,Vertical,2024-10-25,2024-10-28
42-475-38857,UNIVERSITY 7-17 1,PILOT WATER GATH DELAWARE LLC,New Drill,Vertical,2024-10-21,2024-10-22
42-475-38403,MIPA NO SLEEP 8201 4H,COG OPERATING LLC,New Drill,Horizontal,2024-10-17,2024-12-17
42-475-38855,SCRAT A 1A,"Vital Energy, Inc.",New Drill,Horizontal,2024-10-16,2024-10-23
42-475-38856,SCRAT B 2B,"Vital Energy, Inc.",New Drill,Horizontal,2024-10-16,2024-10-23
42-475-38854,FLYING FORTRESS 98 1D,IRON ORCHARD OPERATING LLC,New Drill,Vertical,2024-10-12,2024-10-14
42-475-38847,UL 18 33-32A 1H,APACHE CORPORATION,New Drill,Horizontal,2024-10-11,2024-10-15
42-475-38848,UL 18 33-32B 4AH,APACHE CORPORATION,New Drill,Horizontal,2024-10-11,2024-10-15
42-475-38849,UL 18 33-32C 3BS,APACHE CORPORATION,New Drill,Horizontal,2024-10-11,2024-10-15
42-475-38850,UL 18 33-32D 2AH,APACHE CORPORATION,New Drill,Horizontal,2024-10-11,2024-10-15
42-475-38853,GRAY SWD 81 2,WATERBRIDGE TEXAS OPERATING LLC,New Drill,Vertical,2024-10-05,2024-10-07
42-475-38327,MI DIA 113H,XTO ENERGY INC.,New Drill,Horizontal,2024-10-03,2024-11-05
42-475-38847,UL 18 33-32A 1H,APACHE CORPORATION,New Drill,Horizontal,2024-10-02,2024-10-08
42-475-38848,UL 18 33-32B 4AH,APACHE CORPORATION,New Drill,Horizontal,2024-10-02,2024-10-08
42-475-38849,UL 18 33-32C 3BS,APACHE CORPORATION,New Drill,Horizontal,2024-10-02,2024-10-08
42-475-38850,UL 18 33-32D 2AH,APACHE CORPORATION,New Drill,Horizontal,2024-10-02,2024-10-08
42-475-38851,UL 18 33-32E 5BS,APACHE CORPORATION,New Drill,Horizontal,2024-10-02,2024-10-08
42-475-38852,UL 18 33-32F 6H,APACHE CORPORATION,New Drill,Horizontal,2024-10-02,2024-10-08
42-475-38662,MEGALODON 60 WB A 1H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-10-01,2024-10-04
42-475-38844,DIRE WOLF B 5A,"Vital Energy, Inc.",New Drill,Horizontal,2024-09-20,2024-09-26
42-475-38845,DIRE WOLF C 6TB,"Vital Energy, Inc.",New Drill,Horizontal,2024-09-20,2024-09-26
42-475-38846,DIRE WOLF D 7B,"Vital Energy, Inc.",New Drill,Horizontal,2024-09-20,2024-09-26
42-475-38843,UTL MALLOW 0504A 01H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-09-10,2024-09-12
42-475-38841,UTL HYSSOP 2728A 01H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-09-10,2024-09-11
42-475-38842,UTL HYSSOP 2728B 02H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-09-10,2024-09-11
42-475-36975,UTL 2635-17A 1H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-08-29,2024-08-29
42-475-38836,SARAH HAYS STATE UNIT 1WA,DIAMONDBACK E&P LLC,New Drill,Horizontal,2024-08-28,2024-08-29
42-475-38839,SARAH HAYS STATE UNIT 2TO,DIAMONDBACK E&P LLC,New Drill,Horizontal,2024-08-28,2024-08-29
42-475-38837,SARAH HAYS STATE UNIT 3WA,DIAMONDBACK E&P LLC,New Drill,Horizontal,2024-08-28,2024-08-29
42-475-38838,SARAH HAYS STATE UNIT 4TO,DIAMONDBACK E&P LLC,New Drill,Horizontal,2024-08-28,2024-08-29
42-475-38402,MIPA NO SLEEP 8252 3H,COG OPERATING LLC,New Drill,Horizontal,2024-08-22,2024-12-17
42-475-38840,HUTCHINGS STOCK ASSOCIATION 3085,SUNDOWN ENERGY LP,New Drill,Directional,2024-08-22,2024-09-04
42-475-38835,HUTCHINGS STOCK ASSOCIATION 3084,SUNDOWN ENERGY LP,New Drill,Directional,2024-08-20,2024-09-04
42-475-38401,MIPA NO SLEEP 8202 2H,COG OPERATING LLC,New Drill,Horizontal,2024-08-19,2024-10-17
42-475-37837,UTL 2635-17V 22H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-08-13,2024-08-16
42-475-33630,HARDAGE & WILSON 1K,WAGNER OIL COMPANY,Recompletion,Vertical,2024-08-02,2024-11-19
42-475-38831,SMASHBOY 1-29 E W101HA,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-07-29,2024-07-31
42-475-38832,SMASHBOY 1-29 F W301HB,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-07-29,2024-07-31
42-475-38833,SMASHBOY 1-29 G W302HB,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-07-29,2024-07-31
42-475-38834,SMASHBOY 1-29 H W102HA,"Petro-Hunt Permian, LLC",New Drill,Horizontal,2024-07-29,2024-07-31
42-475-37838,UTL 2635-17W 23H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-08-13
42-475-37839,UTL 2635-17X 24H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-08-13
42-475-37842,UTL 2635-17Y 33H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-08-13
42-475-37917,UTL 2635-17Z 32HX,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-08-13
42-475-37835,UTL 2635-17M 13H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-08-12
42-475-38673,FOWLER 193/194 C W101BO,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-07-25,2024-08-02
42-475-37841,UTL 2635-17T 31H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-07-31
42-475-37836,UTL 2635-17U 21H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-25,2024-07-31
42-475-37834,UTL 2635-17L 12H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-24,2024-08-27
42-475-38585,MEGALODON 50 WA B 2H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-07-23,2024-09-10
42-475-38672,FOWLER 193/194 B W101AP,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-07-19,2024-07-26
42-475-38451,MI DIA 48 AV12 112H,XTO ENERGY INC.,New Drill,Horizontal,2024-07-18,2024-08-21
42-475-37844,UTL 2635-17K 11H,JAGGED PEAK ENERGY LLC,New Drill,Horizontal,2024-07-18,2024-08-21
42-475-38448,MI DIA 48 AV11 111H,XTO ENERGY INC.,New Drill,Horizontal,2024-07-18,2024-08-14
42-475-38449,MI DIA 48 WD2 902H,XTO ENERGY INC.,New Drill,Horizontal,2024-07-18,2024-07-25
42-475-38447,MI DIA 48 WD1 901H,XTO ENERGY INC.,New Drill,Horizontal,2024-07-18,
42-475-38661,MEGALODON 30 3BS B 2H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-07-17,2024-07-25
42-475-38777,DIRE WOLF 10 1BS C 3H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-07-17,2024-07-25
42-475-38775,DIRE WOLF 10 1BS A 1H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-07-11,2024-07-16
42-475-38776,DIRE WOLF 10 1BS B 2H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-07-11,2024-07-16
42-475-38602,DIRE WOLF 30 3BS B 2H,"POINT ENERGY PARTNERS PETRO, LLC",New Drill,Horizontal,2024-07-11,2024-07-15
